date,env_enc_0,env_enc_1,env_enc_2,env_enc_3
1927-12-30,2.2989497,-4.6932807,2.4999404,-0.9896153
1927-12-31,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-01,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-02,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-03,2.157757,-5.026393,2.8853264,-0.59310734
1928-01-04,2.4807467,-4.880765,2.5631688,-1.1598506
1928-01-05,3.593823,-6.674941,3.5799613,-1.766703
1928-01-06,2.1674995,-5.129127,2.9726033,-0.5534359
1928-01-07,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-08,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-09,3.4926753,-6.4975934,3.4753542,-1.719633
1928-01-10,3.1990762,-5.9932327,3.17808,-1.5793859
1928-01-11,2.3825405,-4.7656107,2.51688,-1.075352
1928-01-12,2.18345,-5.251574,3.074628,-0.51302433
1928-01-13,2.1681018,-5.134304,2.976953,-0.5516161
1928-01-14,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-15,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-16,5.038502,-9.315336,5.163624,-2.408897
1928-01-17,2.263608,-4.674855,2.5032477,-0.94758254
1928-01-18,2.4866474,-4.888284,2.5665932,-1.1644531
1928-01-19,2.1844654,-5.2587004,3.080544,-0.51082104
1928-01-20,2.158926,-5.041006,2.89795,-0.58701044
1928-01-21,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-22,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-23,2.2738037,-5.7596087,3.4838858,-0.38054627
1928-01-24,2.154653,-4.8065033,2.6867394,-0.7074264
1928-01-25,3.8151994,-7.069321,3.8138776,-1.8684535
1928-01-26,2.1677208,-5.1310415,2.9742148,-0.5527613
1928-01-27,2.1605482,-4.7558727,2.6366627,-0.7458837
1928-01-28,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-29,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-01-30,3.9304857,-7.2777867,3.938367,-1.921174
1928-01-31,2.1518745,-4.873761,2.7493582,-0.6661819
1928-02-01,2.4831333,-4.8837976,2.5645468,-1.161715
1928-02-02,2.1582837,-5.0330653,2.8911014,-0.59030145
1928-02-03,4.286878,-7.930543,4.3286195,-2.0821905
1928-02-04,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-05,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-06,2.1701026,-4.720083,2.597316,-0.78227115
1928-02-07,2.3383882,-4.7232027,2.504572,-1.0319959
1928-02-08,2.1702492,-4.719698,2.596866,-0.7827305
1928-02-09,2.1601744,-4.758062,2.6389008,-0.7440391
1928-02-10,2.3381426,-4.722994,2.5045211,-1.0317438
1928-02-11,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-12,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-13,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-14,2.920107,-5.528197,2.909853,-1.4359545
1928-02-15,2.4848185,-4.8859415,2.5655205,-1.1630301
1928-02-16,2.5455494,-4.965764,2.6037488,-1.2076144
1928-02-17,5.3487725,-9.889263,5.511677,-2.5410936
1928-02-18,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-19,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-20,2.857429,-5.4283357,2.8531542,-1.4009733
1928-02-21,2.2886176,-5.8325377,3.5419564,-0.36425805
1928-02-22,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-23,2.2317898,-4.6684427,2.5151882,-0.9042479
1928-02-24,2.1691341,-4.7227373,2.6003926,-0.7791666
1928-02-25,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-26,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-02-27,2.6890664,-5.1704807,2.7105317,-1.301981
1928-02-28,2.1690636,-4.722933,2.6006165,-0.7789395
1928-02-29,2.1599226,-5.0530095,2.9082644,-0.5821086
1928-03-01,2.1851811,-4.692347,2.5627875,-0.82090855
1928-03-02,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-03,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-04,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-05,2.7462716,-7.7070513,5.0117826,-0.05136847
1928-03-06,2.1581175,-5.0310097,2.8893242,-0.5911621
1928-03-07,2.8297248,-5.3849344,2.8286679,-1.38523
1928-03-08,2.1604154,-4.7566414,2.6374497,-0.7452314
1928-03-09,2.821413,-7.9915867,5.2328215,-0.011951165
1928-03-10,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-11,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-12,2.1551628,-4.800167,2.68069,-0.7117835
1928-03-13,2.738178,-5.2440214,2.7505348,-1.3318744
1928-03-14,2.264762,-4.675306,2.5029864,-0.9490366
1928-03-15,2.2127295,-5.4387083,3.2271502,-0.45913228
1928-03-16,2.3504124,-6.120344,3.7709475,-0.30523375
1928-03-17,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-18,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-19,2.155714,-4.997454,2.8601227,-0.60560757
1928-03-20,2.1554317,-4.9929066,2.8561413,-0.6076187
1928-03-21,2.3368006,-6.059247,3.72246,-0.31717658
1928-03-22,2.5246606,-4.93777,2.58996,-1.1928387
1928-03-23,2.3014805,-5.894409,3.5911932,-0.35090443
1928-03-24,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-25,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-03-26,2.6406677,-7.2975826,4.693372,-0.11061979
1928-03-27,2.931127,-5.5460453,2.920022,-1.4419944
1928-03-28,2.5203176,-4.932008,2.5871801,-1.1896865
1928-03-29,2.1641688,-4.7391577,2.6188588,-0.76146156
1928-03-30,2.9120412,-8.329762,5.4956656,0.034329318
1928-03-31,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-01,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-02,5.6525154,-10.452839,5.853665,-2.6695023
1928-04-03,2.159782,-5.051296,2.9067974,-0.5828028
1928-04-04,2.4183857,-4.8047266,2.5309606,-1.1077619
1928-04-05,2.500226,-6.7439756,4.2617598,-0.19613291
1928-04-06,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-07,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-08,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-09,2.1931622,-4.683562,2.5503912,-0.8379737
1928-04-10,3.4483318,-6.420353,3.4297664,-1.6987314
1928-04-11,2.9487426,-8.465252,5.6009607,0.052651186
1928-04-12,2.4154058,-4.801322,2.5296557,-1.10516
1928-04-13,2.8256762,-8.00757,5.2452235,-0.009757273
1928-04-14,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-15,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-16,2.5092115,-4.917431,2.5801997,-1.181531
1928-04-17,3.3220112,-6.2027054,3.301107,-1.6387993
1928-04-18,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-19,2.1574244,-5.02205,2.8815608,-0.5949445
1928-04-20,4.656677,-8.610973,4.737774,-2.244587
1928-04-21,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-22,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-23,3.6382127,-6.753399,3.6263564,-1.7872245
1928-04-24,2.1538167,-4.9598007,2.8269415,-0.6227872
1928-04-25,2.1533337,-4.8258944,2.7050307,-0.6946192
1928-04-26,2.1932435,-5.317376,3.1286607,-0.4934082
1928-04-27,2.3678527,-6.1961656,3.8310442,-0.2908376
1928-04-28,2.2989497,-4.6932807,2.4999404,-0.9896153
