epoch,loss,time
1,4488653.958808807,00:56:27
2,274952.5335304709,01:52:52
3,244604.12235211954,02:49:17
4,155754.97455997267,03:45:43
5,11312280.388775388,04:42:09
6,77636401.28425251,05:38:35
7,37800457.29775584,06:35:00
8,44187091.822088875,07:31:26
9,41194935.8978494,08:27:52
10,24473126.80659294,09:24:18
11,24651899.08260854,10:20:43
12,24655042.499572117,11:17:09
13,24649986.438604355,12:13:35
14,24650292.115602493,13:10:01
15,24650378.21964391,14:06:27
16,24651419.317106884,15:02:53
17,24647651.1920592,15:59:19
18,24649856.8687102,16:55:45
19,24651562.96405983,17:52:10
20,24649610.001912434,18:48:34
21,24649451.074142456,19:44:59
22,24653105.168903988,20:41:23
23,24650707.514429092,21:37:47
24,24650374.90355873,22:34:12
25,24654171.6587162,23:30:35
26,24657610.98954455,00:26:59
27,24652209.12895711,01:23:24
28,24652757.959856033,02:19:48
29,24651530.962551754,03:16:14
30,24647082.194388073,04:12:39
31,24650065.398961384,05:09:05
32,24649510.24286588,06:05:31
33,24650416.491948444,07:01:56
34,24651703.453683216,07:58:20
35,24652628.595134098,08:54:45
36,24649937.22004954,09:51:11
37,24655797.071181614,10:47:37
38,24649569.23173968,11:44:03
39,24651608.47437604,12:40:29
40,24652171.05869357,13:36:55
41,24649478.768384296,14:33:21
42,24649361.39599355,15:29:47
43,24649608.11587588,16:26:12
44,24655939.423752468,17:22:37
45,24654024.63154157,18:19:02
46,24649025.640912373,19:15:27
47,24645476.503040314,20:11:50
48,24648119.858266193,21:08:14
49,24652084.018082935,22:04:39
50,24650304.16758092,23:01:04
51,24650120.385550816,23:57:28
52,24650387.847085953,00:53:53
53,24651756.9842453,01:50:18
54,24648097.67882983,02:46:42
55,24652156.35868581,03:43:07
56,24650496.704336166,04:39:32
57,24651582.76141548,05:35:57
58,24648012.201411564,06:32:22
59,24653312.65033086,07:28:47
60,24648970.4799366,08:25:12
61,24654299.073408764,09:21:38
62,24648777.78660329,10:18:04
63,24651065.560651142,11:14:30
